Datetime,ADI,AMAT,AMD,ARM,ASML,AVGO,CDNS,INTC,KLAC,MCHP,MPWR,MRVL,MU,NVDA,NXPI,QCOM,SNPS,TSM,TXN
2024-02-15 14:30:00+00:00,187.83999633789062,186.90499877929688,176.8000030517578,126.8499984741211,922.5700073242188,125.39799499511719,295.6600036621094,44.86119842529297,651.77001953125,81.2300033569336,734.0999755859375,66.83000183105469,82.05999755859375,73.06999969482422,235.89999389648438,156.3300018310547,556.9450073242188,129.0399932861328,160.1300048828125
2024-02-15 15:30:00+00:00,187.27999877929688,188.00999450683594,176.18499755859375,126.18599700927734,924.7000122070312,126.0407485961914,297.25,44.497398376464844,655.280029296875,81.31999969482422,730.52001953125,67.44000244140625,81.94499969482422,73.12100219726562,236.02999877929688,155.91000366210938,559.72998046875,129.07000732421875,160.3800048828125
2024-02-15 16:30:00+00:00,187.14999389648438,188.02000427246094,176.72000122070312,128.8000030517578,927.2899780273438,126.23081970214844,298.3299865722656,44.540000915527344,655.7899780273438,81.38999938964844,732.97998046875,67.94999694824219,82.39009857177734,73.1469955444336,236.4199981689453,156.03500366210938,559.3699951171875,129.22500610351562,160.3000030517578
2024-02-15 17:30:00+00:00,188.25999450683594,188.67999267578125,177.52000427246094,130.15780639648438,932.0800170898438,126.49699401855469,296.4800109863281,44.60499954223633,659.2496948242188,82.36000061035156,737.3200073242188,68.05999755859375,82.5999984741211,73.30400085449219,236.3699951171875,156.80999755859375,558.6900024414062,129.8800048828125,161.07000732421875
2024-02-15 18:30:00+00:00,188.4488983154297,189.09500122070312,177.76800537109375,133.32699584960938,933.7100219726562,126.59449768066406,297.1650085449219,44.654998779296875,660.0499877929688,82.81999969482422,737.530029296875,68.2300033569336,82.32499694824219,73.20899963378906,236.33999633789062,156.85000610351562,560.780029296875,130.38999938964844,161.2550048828125
2024-02-15 19:30:00+00:00,187.82000732421875,188.3000030517578,176.8979949951172,133.66000366210938,930.9299926757812,126.28950500488281,296.05999755859375,44.22999954223633,655.4971923828125,82.37000274658203,733.1599731445312,67.7300033569336,81.7300033569336,72.8530044555664,234.75999450683594,156.38499450683594,558.3099975585938,129.8699951171875,160.6938018798828
2024-02-15 20:30:00+00:00,187.6699981689453,187.6199951171875,176.75,133.6699981689453,929.8400268554688,126.51399993896484,295.6199951171875,44.060001373291016,652.3900146484375,82.5199966430664,734.3200073242188,67.41000366210938,81.62999725341797,72.65699768066406,234.41000366210938,155.99000549316406,558.0399780273438,129.02999877929688,160.72000122070312
2024-02-16 14:30:00+00:00,187.8260040283203,198.8699951171875,174.30999755859375,124.91999816894531,932.760009765625,125.0250015258789,292.1199951171875,43.5,664.3538208007812,81.62000274658203,736.3800048828125,66.08999633789062,79.71990203857422,73.23600006103516,233.36000061035156,153.22999572753906,554.9099731445312,127.33000183105469,160.1649932861328
2024-02-16 15:30:00+00:00,188.9499969482422,203.58990478515625,176.3654022216797,127.97989654541016,940.5,125.66700744628906,293.6372985839844,43.70500183105469,672.6599731445312,81.97000122070312,744.25,66.80000305175781,80.29000091552734,73.84000396728516,234.9600067138672,155.25999450683594,558.4199829101562,128.02000427246094,161.40530395507812
2024-02-16 16:30:00+00:00,189.88999938964844,203.16000366210938,176.42999267578125,127.76000213623047,944.739990234375,125.94300842285156,293.0700988769531,43.810001373291016,675.280029296875,82.5199966430664,744.719970703125,66.88500213623047,80.28500366210938,73.90399932861328,234.8800048828125,155.24000549316406,557.5499877929688,127.62999725341797,161.82000732421875
2024-02-16 17:30:00+00:00,189.86500549316406,202.4199981689453,174.9199981689453,125.93000030517578,940.0650024414062,125.3790054321289,291.8800048828125,43.7400016784668,668.8200073242188,82.23999786376953,738.8200073242188,66.80000305175781,79.92500305175781,73.26950073242188,233.75999450683594,154.27000427246094,556.2100219726562,127.31999969482422,161.1300048828125
2024-02-16 18:30:00+00:00,190.33999633789062,203.125,175.56959533691406,127.38200378417969,942.6599731445312,126.18858337402344,292.6700134277344,43.7239990234375,671.64501953125,82.4800033569336,738.6199951171875,67.00499725341797,80.04989624023438,73.78788757324219,235.10000610351562,154.77999877929688,558.4199829101562,127.70999908447266,161.80999755859375
2024-02-16 19:30:00+00:00,188.4499969482422,200.9499969482422,174.67999267578125,126.34220123291016,933.9199829101562,125.13078308105469,290.6499938964844,43.599998474121094,665.3400268554688,81.91999816894531,730.8599853515625,66.3550033569336,79.70500183105469,73.35600280761719,232.82000732421875,153.39500427246094,554.7949829101562,126.93000030517578,160.75
2024-02-16 20:30:00+00:00,188.27000427246094,199.5500030517578,173.82000732421875,128.33999633789062,928.9500122070312,124.5479965209961,290.29998779296875,43.52000045776367,661.3800048828125,81.61000061035156,730.0900268554688,66.30000305175781,79.51000213623047,72.60050201416016,232.16000366210938,152.6999969482422,553.1199951171875,126.77999877929688,160.41000366210938
2024-02-20 14:30:00+00:00,186.3800048828125,189.0399932861328,163.51499938964844,118.01000213623047,906.3200073242188,121.48399353027344,285.989990234375,43.61000061035156,648.8599853515625,80.58499908447266,705.280029296875,63.630001068115234,79.30000305175781,68.3655014038086,228.72000122070312,150.9550018310547,540.6199951171875,124.76000213623047,160.74000549316406
2024-02-20 15:30:00+00:00,187.41000366210938,188.60000610351562,164.22500610351562,120.83999633789062,906.75,122.66902160644531,289.010009765625,44.0099983215332,652.2000122070312,81.2074966430664,706.969970703125,64.5250015258789,79.95999908447266,68.64299774169922,229.3300018310547,151.11000061035156,546.3200073242188,125.25,161.49000549316406
